#posCloneA_X posCloneA_X   detectRate   averageNbMessageSent   average_nb_WinessCacheMax   average_nb_WinessCache   average_nb_claimsMax   average_nb_claims   averageMemorySize   axMemorySize 
100		100		0.6436436 4883.4795 2.8528528 88.605606 2.8528528 47.024025 7244.753 2734.0 
500		0		0.2902903 3102.3684 2.3443444 53.978977 2.3443444 37.892895 5245.6455 2824.0 
150		100		0.6636637 4732.022 3.0590591 81.344345 3.0590591 51.724724 7420.933 2554.0 
350		100		0.7057057 4962.877 2.9489489 91.14615 2.9489489 48.796795 7490.6807 2374.0 
0		250		0.44744745 3595.022 2.5985985 62.734734 2.5975976 40.59159 5786.224 3544.0 
150		250		0.6696697 5057.8237 3.1411412 88.81582 3.1411412 55.93894 8054.242 2914.0 
250		250		0.64035964 4910.107 2.7002997 90.52048 2.7002997 43.074924 6954.4395 2520.0 
350		250		0.6796797 5269.5195 2.7657657 94.327324 2.7657657 44.303303 7194.4263 2430.0 
500		250		0.5605606 4430.306 2.7297297 75.76476 2.7297297 44.40941 6572.8486 3094.0 
0		350		0.5095095 3979.6846 2.5225224 68.286285 2.5225224 41.45746 6052.905 2340.0 
150		350		0.6703297 5007.7773 2.8721278 90.572426 2.8721278 47.575424 7361.251 2464.0 
350		350		0.6586587 5179.4985 2.8828828 93.62863 2.8828828 46.95095 7408.959 3060.0 
500		350		0.5917753 4588.057 2.8224673 77.675026 2.8224673 47.16048 6885.394 2700.0 
0		500		0.37862137 3514.3376 2.3246753 60.427574 2.3246753 36.347652 5325.826 2520.0 
250		500		0.4894895 3993.7927 2.5145144 69.62062 2.5145144 39.34334 5908.002 2250.0 
500		500		0.4114114 3487.154 2.3213212 59.31932 2.3213212 38.6006 5490.911 2464.0 
377		470		0.6456456 4783.4473 2.9509509 90.24625 2.9509509 48.813812 7461.6157 2194.0 
