#posCloneA_X posCloneA_X   detectRate   averageNbMessageSent   average_nb_WinessCacheMax   average_nb_WinessCache   average_nb_claimsMax   average_nb_claims   averageMemorySize   axMemorySize 
100		100		1.0 897.5135 3.3516483 28.841158 3.3516483 52.016983 5662.128 2734.0 
500		0		0.2102102 564.8439 2.3843844 17.26026 2.3843844 35.087086 3744.6868 2700.0 
150		100		0.4954955 960.7638 3.5315316 35.07908 3.5315316 54.41942 6090.4365 3330.0 
350		100		0.5105105 1004.34235 3.0870872 41.79179 3.0870872 47.53253 5698.8486 2700.0 
0		250		0.43443444 838.85986 3.038038 28.253254 3.0370371 46.174175 5116.286 3274.0 
150		250		0.46846846 969.05304 3.2182183 37.691692 3.2182183 47.24124 5533.229 3780.0 
250		250		0.55383074 1026.2894 3.2809215 41.06009 3.2809215 51.495243 6030.6147 4174.0 
350		250		0.5245245 1069.908 3.3043044 41.221222 3.3043044 54.37838 6295.5757 2824.0 
500		250		0.34634635 771.04504 2.9169168 25.302301 2.915916 46.0991 5009.1973 2970.0 
0		350		0.42627883 851.338 2.9939818 30.988966 2.9939818 46.55065 5243.1836 3544.0 
150		350		0.4775225 906.4945 3.1898103 34.075924 3.1898103 48.48052 5521.828 2700.0 
350		350		0.5055055 1003.9119 3.3143144 39.603603 3.3143144 53.289288 6142.5586 3780.0 
500		350		0.37337336 798.1461 2.9269269 25.33934 2.9269269 50.16917 5376.7627 3364.0 
0		500		0.26626626 622.37836 2.2642643 19.247248 2.2642643 34.16116 3728.911 3004.0 
250		500		0.42842844 894.2432 3.1251252 32.717716 3.1251252 49.1021 5531.592 2970.0 
500		500		0.22122122 533.1872 2.3123124 16.573574 2.3113112 35.54955 3762.961 2734.0 
368		116		0.4974975 1052.5276 3.5255256 41.687687 3.5255256 57.32132 6576.3003 2734.0 
50		50		1.0 1082.5005 3.2027972 36.822178 3.2027972 51.35165 5873.6025 3184.0 
50		0		1.0 1014.08606 3.1111112 28.861862 3.1091092 49.73974 5457.88 4230.0 
100		0		1.0 1075.914 3.4664664 33.293293 3.4664664 55.56857 6133.143 4264.0 
