#posCloneA_X posCloneA_X   detectRate   averageNbMessageSent   average_nb_WinessCacheMax   average_nb_WinessCache   average_nb_claimsMax   average_nb_claims   averageMemorySize   axMemorySize 
200		200		1,00000000000000000000 200,77377319335938000000 0,50050050020217900000 68,54554748535156000000 0,50050050020217900000 0,64964962005615230000 2 389,01708984375000000000 124,00000000000000000000 
250		250		0,00000000000000000000 196,62962341308594000000 0,50150150060653690000 53,41741561889648400000 0,50150150060653690000 0,69069069623947140000 1 878,35437011718750000000 214,00000000000000000000 
0		0		0,43143144249916077000 128,79278564453125000000 0,49949949979782104000 50,90790939331055000000 0,49949949979782104000 0,58358359336853030000 1 783,39135742187500000000 124,00000000000000000000 
500		0		0,42042040824890137000 126,78378295898438000000 0,50150150060653690000 49,91691589355469000000 0,50150150060653690000 0,63863861560821530000 1 754,65270996093750000000 214,00000000000000000000 
150		100		0,88788789510726930000 186,10209655761720000000 0,50050050020217900000 71,45044708251953000000 0,50050050020217900000 0,64564561843872070000 2 487,42333984375000000000 124,00000000000000000000 
350		100		0,74174171686172490000 142,28828430175780000000 0,50150150060653690000 55,28128051757812500000 0,50050050020217900000 0,63263261318206790000 1 936,50048828125000000000 214,00000000000000000000 
0		250		0,67467468976974490000 153,92492675781250000000 0,50050050020217900000 60,84284210205078000000 0,50050050020217900000 0,63563561439514160000 2 125,86376953125000000000 124,00000000000000000000 
150		250		1,00000000000000000000 191,98898315429688000000 0,50050050020217900000 70,08608245849610000000 0,50050050020217900000 0,65465468168258670000 2 441,84594726562500000000 124,00000000000000000000 
250		250		0,00000000000000000000 197,02201843261720000000 0,50350350141525270000 53,74174118041992000000 0,50350350141525270000 0,76976978778839110000 1 896,49853515625000000000 214,00000000000000000000 
350		250		1,00000000000000000000 178,74674987792970000000 0,50050050020217900000 65,76676940917969000000 0,50050050020217900000 0,68268269300460820000 2 297,51147460937500000000 124,00000000000000000000 
500		250		0,42142140865325930000 120,50450134277344000000 0,49849849939346313000 47,52552413940430000000 0,49849849939346313000 0,63263261318206790000 1 672,80480957031250000000 124,00000000000000000000 
0		350		0,72572571039199830000 159,66166687011720000000 0,50150150060653690000 62,65265274047851600000 0,50150150060653690000 0,61261260509490970000 2 185,32543945312500000000 214,00000000000000000000 
150		350		0,92392390966415400000 196,93592834472656000000 0,50150150060653690000 75,48048400878906000000 0,50150150060653690000 0,64864861965179440000 2 624,71459960937500000000 214,00000000000000000000 
350		350		0,87187188863754270000 172,04804992675780000000 0,50250250101089480000 66,27727508544922000000 0,50250250101089480000 0,63063061237335200000 2 310,18408203125000000000 214,00000000000000000000 
500		350		0,57757759094238280000 139,62863159179688000000 0,50050050020217900000 55,30730819702148400000 0,50050050020217900000 0,61161160469055180000 1 935,49353027343750000000 214,00000000000000000000 
