#posCloneA_X posCloneA_X   detectRate   averageNbMessageSent   average_nb_WinessCacheMax   average_nb_WinessCache   average_nb_claimsMax   average_nb_claims   averageMemorySize   axMemorySize 
100		100		1,00000000000000000000 140,95596313476562000000 1,33833837509155270000 21,81481552124023400000 1,33833837509155270000 1,33933937549591060000 862,24426269531250000000 1 114,00000000000000000000 
500		0		1,00000000000000000000 80,00199890136719000000 0,89089089632034300000 19,84984970092773400000 0,88588589429855350000 0,88588589429855350000 754,62463378906250000000 844,00000000000000000000 
150		100		1,00000000000000000000 147,53652954101562000000 1,32632637023925780000 23,80680656433105500000 1,32632637023925780000 1,32732737064361570000 928,89086914062500000000 1 294,00000000000000000000 
350		100		1,00000000000000000000 143,59159851074220000000 1,10410416126251220000 27,25926017761230500000 1,10410416126251220000 1,10410416126251220000 1 026,18420410156250000000 934,00000000000000000000 
0		250		1,00000000000000000000 120,28328704833984000000 1,03203201293945310000 22,79379463195800800000 1,03103101253509520000 1,03203201293945310000 867,87188720703120000000 844,00000000000000000000 
150		250		1,00000000000000000000 154,21421813964844000000 1,08408403396606450000 30,72272300720215000000 1,08408403396606450000 1,08508503437042240000 1 142,23022460937500000000 934,00000000000000000000 
250		250		1,00000000000000000000 179,70069885253906000000 1,15515518188476560000 36,18118286132812500000 1,15515518188476560000 1,15715718269348140000 1 334,30432128906250000000 1 204,00000000000000000000 
350		250		1,00000000000000000000 154,35635375976562000000 1,04204201698303220000 37,20520401000976600000 1,04204201698303220000 1,04304301738739010000 1 358,85083007812500000000 1 024,00000000000000000000 
500		250		0,92192190885543820000 114,13813781738281000000 0,95295298099517820000 29,26526451110840000000 0,95195198059082030000 0,95295298099517820000 1 080,78479003906250000000 664,00000000000000000000 
0		350		1,00000000000000000000 113,76075744628906000000 0,98298299312591550000 24,30730819702148400000 0,98198199272155760000 0,98498499393463130000 915,09710693359380000000 844,00000000000000000000 
150		350		1,00000000000000000000 147,77377319335938000000 0,99199199676513670000 33,22122192382812500000 0,99199199676513670000 0,99399399757385250000 1 218,98095703125000000000 1 024,00000000000000000000 
350		350		0,94794791936874390000 161,29730224609375000000 1,03103101253509520000 38,68368530273437500000 1,03103101253509520000 1,03203201293945310000 1 408,12817382812500000000 934,00000000000000000000 
500		350		0,89769309759140010000 106,11835479736328000000 0,96790373325347900000 28,77632904052734400000 0,96790373325347900000 0,96790373325347900000 1 065,50646972656250000000 844,00000000000000000000 
0		500		0,74125874042510990000 85,83216857910156000000 0,88111889362335200000 21,33666419982910000000 0,88111889362335200000 0,88211786746978760000 804,83715820312500000000 664,00000000000000000000 
250		500		0,89989989995956420000 120,42442321777344000000 0,94994992017745970000 28,72172164916992200000 0,94994992017745970000 0,95195198059082030000 1 062,21423339843750000000 664,00000000000000000000 
500		500		0,82182180881500240000 95,86886596679688000000 0,93593591451644900000 24,32132148742675800000 0,93393391370773320000 0,93493491411209110000 911,06909179687500000000 664,00000000000000000000 
91		420		1,00000000000000000000 115,74874877929688000000 0,96096098423004150000 28,25325393676757800000 0,95995998382568360000 0,96096098423004150000 1 047,09704589843750000000 844,00000000000000000000 
