#posCloneA_X posCloneA_X   detectRate   averageNbMessageSent   average_nb_WinessCacheMax   average_nb_WinessCache   average_nb_claimsMax   average_nb_claims   averageMemorySize   axMemorySize 
100		100		0.4784353 126.638916 0.49648947 51.5667 0.49648947 0.551655 1802.9167 124.0 
500		0		0.045954045 46.226772 0.42057943 20.013987 0.42057943 0.44255745 720.30566 124.0 
150		100		0.35907724 92.1655 0.4884654 38.23972 0.4874624 0.5356068 1348.3551 124.0 
350		100		0.3113113 134.35036 0.4994995 55.492493 0.4994995 0.5575576 1936.9249 124.0 
0		250		0.15215215 64.58559 0.46946946 27.474474 0.46946946 0.4974975 978.9069 124.0 
150		250		0.34734735 116.86186 0.4974975 47.70971 0.4974975 0.5635636 1672.8508 124.0 
250		250		0.34517258 137.71986 0.49874938 56.25763 0.49874938 0.56228113 1963.3646 124.0 
350		250		0.2862863 133.71172 0.4994995 54.81081 0.4994995 0.5545546 1913.4774 124.0 
500		250		0.14214215 88.94094 0.4874875 37.754753 0.4874875 0.5235235 1330.7788 124.0 
0		350		0.17717718 75.228226 0.47147146 32.021023 0.47047046 0.5015015 1133.8499 124.0 
150		350		0.27227226 129.03403 0.4994995 52.88288 0.4994995 0.5525526 1847.7478 214.0 
350		350		0.3013013 133.4004 0.4994995 54.88889 0.4994995 0.5665666 1917.2133 124.0 
500		350		0.14414415 86.36136 0.4874875 36.824825 0.4874875 0.5325325 1299.9719 124.0 
0		500		0.074074075 59.497498 0.45345345 25.692692 0.45345345 0.4804805 916.7948 124.0 
250		500		0.13986014 80.86114 0.48051947 34.20979 0.48051947 0.5204795 1209.9761 124.0 
500		500		0.076228686 58.12638 0.445336 24.96991 0.445336 0.47642928 891.8556 124.0 
377		470		0.25625625 140.83684 0.4994995 58.632633 0.4994995 0.5775776 2045.4915 124.0 
50		50		1.0 189.68405 0.4984955 73.082245 0.4984955 0.5747242 2536.5215 124.0 
50		0		1.0 107.336334 0.4904905 39.934937 0.4904905 0.5525526 1407.5176 214.0 
100		0		0.35835835 85.90991 0.4854855 35.804806 0.4854855 0.5305305 1265.1111 124.0 
