34  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=33, nb_claimsMax=1, nb_claims=6 Nb_Messages=102
35  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=7 nb_WinessCache=40, nb_claimsMax=7, nb_claims=14 Nb_Messages=112
36  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=34, nb_claimsMax=2, nb_claims=7 Nb_Messages=107
37  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=34, nb_claimsMax=2, nb_claims=6 Nb_Messages=96
38  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=7 nb_WinessCache=37, nb_claimsMax=7, nb_claims=10 Nb_Messages=102
39  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=33, nb_claimsMax=2, nb_claims=7 Nb_Messages=101
40  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=3 nb_WinessCache=33, nb_claimsMax=3, nb_claims=8 Nb_Messages=104
41  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=9 nb_WinessCache=37, nb_claimsMax=9, nb_claims=13 Nb_Messages=107
42  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=9 nb_WinessCache=37, nb_claimsMax=9, nb_claims=15 Nb_Messages=117
43  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=34, nb_claimsMax=2, nb_claims=8 Nb_Messages=108
44  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=36, nb_claimsMax=2, nb_claims=2 Nb_Messages=118
45  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=34, nb_claimsMax=2, nb_claims=5 Nb_Messages=111
46  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=3 nb_WinessCache=33, nb_claimsMax=3, nb_claims=5 Nb_Messages=105
47  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=10 nb_WinessCache=38, nb_claimsMax=10, nb_claims=12 Nb_Messages=116
48  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=4 nb_WinessCache=33, nb_claimsMax=4, nb_claims=7 Nb_Messages=115
49  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=8 nb_WinessCache=38, nb_claimsMax=8, nb_claims=8 Nb_Messages=108
50  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=33, nb_claimsMax=2, nb_claims=6 Nb_Messages=108
51  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=33, nb_claimsMax=2, nb_claims=5 Nb_Messages=113
52  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=4 nb_WinessCache=35, nb_claimsMax=4, nb_claims=7 Nb_Messages=101
53  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=11 nb_WinessCache=35, nb_claimsMax=11, nb_claims=13 Nb_Messages=113
54  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=34, nb_claimsMax=1, nb_claims=6 Nb_Messages=98
55  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=6 nb_WinessCache=40, nb_claimsMax=6, nb_claims=6 Nb_Messages=108
56  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=8 nb_WinessCache=33, nb_claimsMax=8, nb_claims=9 Nb_Messages=127
57  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=7 nb_WinessCache=37, nb_claimsMax=7, nb_claims=7 Nb_Messages=103
58  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=11 nb_WinessCache=38, nb_claimsMax=11, nb_claims=17 Nb_Messages=107
59  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=6 nb_WinessCache=41, nb_claimsMax=6, nb_claims=6 Nb_Messages=112
60  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=33, nb_claimsMax=2, nb_claims=7 Nb_Messages=107
